Column1,Will (bigger net),Last Max
0,0.5559,0.5559
1,0.6602,0.6602
2,0.7037,0.7037
3,0.7317,0.7317
4,0.7434,0.7434
5,0.7546,0.7546
6,0.7628,0.7628
7,0.7578,0.7628
8,0.763,0.763
9,0.763,0.763
10,0.7633,0.7633
11,0.7569,0.7633
12,0.7637,0.7637
13,0.77,0.77
14,0.7733,0.7733
15,0.772,0.7733
16,0.7673,0.7733
17,0.779,0.779
18,0.766,0.779
19,0.7753,0.779
20,0.7705,0.779
21,0.7723,0.779
22,0.7814,0.7814
23,0.7703,0.7814
24,0.777,0.7814
25,0.7747,0.7814
26,0.7824,0.7824
27,0.7815,0.7824
28,0.7801,0.7824
29,0.7851,0.7851
30,0.7742,0.7851
31,0.7883,0.7883
32,0.7852,0.7883
33,0.7776,0.7883
34,0.7815,0.7883
35,0.7883,0.7883
36,0.7818,0.7883
37,0.7849,0.7883
38,0.7847,0.7883
39,0.7878,0.7883
40,0.7859,0.7883
41,0.779,0.7883
42,0.7784,0.7883
43,0.7801,0.7883
44,0.7829,0.7883
45,0.7838,0.7883
46,0.7784,0.7883
47,0.7839,0.7883
48,0.7836,0.7883
49,0.7826,0.7883
50,0.7848,0.7883
51,0.7805,0.7883
52,0.7801,0.7883
53,0.7824,0.7883
54,0.784,0.7883
55,0.7883,0.7883
56,0.7861,0.7883
57,0.7887,0.7887
58,0.7922,0.7922
59,0.7937,0.7937
60,0.7916,0.7937
61,0.7957,0.7957
62,0.7948,0.7957
63,0.7917,0.7957
64,0.792,0.7957
65,0.7955,0.7957
66,0.7911,0.7957
67,0.7945,0.7957
68,0.791,0.7957
69,0.7963,0.7963
70,0.7937,0.7963
71,0.7971,0.7971
72,0.7942,0.7971
73,0.7978,0.7978
74,0.7922,0.7978
75,0.7983,0.7983
76,0.7964,0.7983
77,0.8013,0.8013
78,0.7982,0.8013
79,0.7986,0.8013
80,0.7933,0.8013
81,0.7929,0.8013
82,0.7991,0.8013
83,0.7946,0.8013
84,0.7958,0.8013
85,0.7976,0.8013
86,0.7939,0.8013
87,0.798,0.8013
88,0.7919,0.8013
89,0.7979,0.8013
90,0.7983,0.8013
91,0.8019,0.8019
92,0.7993,0.8019
93,0.7955,0.8019
94,0.8001,0.8019
95,0.7959,0.8019
96,0.7964,0.8019
97,0.797,0.8019
98,0.799,0.8019
99,0.8023,0.8023
100,0.8013,0.8023
101,0.8002,0.8023
102,0.7945,0.8023
103,0.7943,0.8023
104,0.8019,0.8023
105,0.8012,0.8023
106,0.7903,0.8023
107,0.7966,0.8023
108,0.796,0.8023
109,0.7971,0.8023
110,0.7972,0.8023
111,0.7942,0.8023
112,0.7984,0.8023
113,0.7969,0.8023
114,0.795,0.8023
115,0.7925,0.8023
116,0.7928,0.8023
117,0.7983,0.8023
118,0.7968,0.8023
119,0.7976,0.8023
120,0.8028,0.8028
121,0.8022,0.8028
122,0.7947,0.8028
123,0.7984,0.8028
124,0.8011,0.8028
125,0.7985,0.8028
126,0.8042,0.8042
127,0.8005,0.8042
128,0.7964,0.8042
129,0.7974,0.8042
130,0.7978,0.8042
131,0.7967,0.8042
132,0.7968,0.8042
133,0.7997,0.8042
134,0.8011,0.8042
135,0.8021,0.8042
136,0.7942,0.8042
137,0.8001,0.8042
138,0.7985,0.8042
139,0.7988,0.8042
140,0.8018,0.8042
141,0.8048,0.8048
142,0.795,0.8048
143,0.7994,0.8048
144,0.8014,0.8048
145,0.7956,0.8048
146,0.799,0.8048
147,0.8001,0.8048
148,0.7997,0.8048
149,0.7977,0.8048
150,0.7983,0.8048
151,0.7978,0.8048
152,0.797,0.8048
153,0.8008,0.8048
154,0.7982,0.8048
155,0.7992,0.8048
156,0.7979,0.8048
157,0.8033,0.8048
158,0.7988,0.8048
159,0.7995,0.8048
160,0.7983,0.8048
161,0.8005,0.8048
162,0.8007,0.8048
163,0.8003,0.8048
164,0.799,0.8048
165,0.799,0.8048
166,0.8001,0.8048
167,0.8028,0.8048
168,0.8041,0.8048
169,0.8006,0.8048
170,0.8037,0.8048
171,0.7993,0.8048
172,0.8053,0.8053
173,0.8,0.8053
174,0.8019,0.8053
175,0.8019,0.8053
176,0.8035,0.8053
177,0.7998,0.8053
178,0.7992,0.8053
179,0.8032,0.8053
180,0.7976,0.8053
181,0.8039,0.8053
182,0.8014,0.8053
183,0.8004,0.8053
184,0.8047,0.8053
185,0.8037,0.8053
186,0.8074,0.8074
187,0.8033,0.8074
188,0.805,0.8074
189,0.8018,0.8074
190,0.8045,0.8074
191,0.8032,0.8074
192,0.8026,0.8074
193,0.8007,0.8074
194,0.8047,0.8074
195,0.8012,0.8074
196,0.804,0.8074
197,0.8036,0.8074
198,0.8051,0.8074
199,0.8028,0.8074
200,0.8059,0.8074
201,0.8039,0.8074
202,0.8015,0.8074
203,0.8033,0.8074
204,0.8029,0.8074
205,0.8061,0.8074
206,0.8019,0.8074
207,0.8059,0.8074
208,0.8025,0.8074
209,0.8038,0.8074
210,0.805,0.8074
211,0.8011,0.8074
212,0.8053,0.8074
213,0.8023,0.8074
214,0.803,0.8074
215,0.8044,0.8074
216,0.804,0.8074
217,0.803,0.8074
218,0.8051,0.8074
219,0.7995,0.8074
220,0.8059,0.8074
221,0.8038,0.8074
222,0.8029,0.8074
223,0.8005,0.8074
224,0.8041,0.8074
225,0.8056,0.8074
226,0.8025,0.8074
227,0.8036,0.8074
228,0.8062,0.8074
229,0.8071,0.8074
230,0.8031,0.8074
231,0.8054,0.8074
232,0.8078,0.8078
233,0.804,0.8078
234,0.8054,0.8078
235,0.8031,0.8078
236,0.8003,0.8078
237,0.8033,0.8078
238,0.801,0.8078
239,0.8041,0.8078
240,0.8053,0.8078
241,0.8059,0.8078
242,0.801,0.8078
243,0.8067,0.8078
244,0.8072,0.8078
245,0.8068,0.8078
246,0.8015,0.8078
247,0.8049,0.8078
248,0.8039,0.8078
249,0.8078,0.8078
250,0.8029,0.8078
251,0.8042,0.8078
252,0.8009,0.8078
253,0.8046,0.8078
254,0.8059,0.8078
255,0.8057,0.8078
256,0.803,0.8078
257,0.8054,0.8078
258,0.801,0.8078
259,0.8063,0.8078
260,0.8069,0.8078
261,0.8047,0.8078
262,0.8018,0.8078
263,0.8035,0.8078
264,0.8025,0.8078
265,0.8044,0.8078
266,0.8056,0.8078
267,0.8037,0.8078
268,0.8047,0.8078
269,0.8072,0.8078
270,0.8056,0.8078
271,0.8048,0.8078
272,0.8034,0.8078
273,0.8081,0.8081
274,0.7998,0.8081
275,0.8082,0.8082
276,0.8034,0.8082
277,0.8022,0.8082
278,0.803,0.8082
279,0.8019,0.8082
280,0.8057,0.8082
281,0.8041,0.8082
282,0.8037,0.8082
283,0.8047,0.8082
284,0.806,0.8082
285,0.8048,0.8082
286,0.803,0.8082
287,0.805,0.8082
288,0.8006,0.8082
289,0.8035,0.8082
290,0.8049,0.8082
291,0.8104,0.8104
292,0.8079,0.8104
293,0.7997,0.8104
294,0.8037,0.8104
295,0.805,0.8104
296,0.8025,0.8104
297,0.8066,0.8104
298,0.807,0.8104
299,0.8033,0.8104
300,0.8033,0.8104
301,0.8019,0.8104
302,0.8018,0.8104
303,0.805,0.8104
304,0.8044,0.8104
305,0.8077,0.8104
306,0.8056,0.8104
307,0.8054,0.8104
308,0.8038,0.8104
309,0.8049,0.8104
310,0.8024,0.8104
311,0.8071,0.8104
312,0.807,0.8104
313,0.8084,0.8104
314,0.8051,0.8104
315,0.7998,0.8104
316,0.8056,0.8104
317,0.8065,0.8104
318,0.8087,0.8104
319,0.8044,0.8104
320,0.8031,0.8104
321,0.8042,0.8104
322,0.8066,0.8104
323,0.8091,0.8104
324,0.8071,0.8104
325,0.809,0.8104
326,0.8045,0.8104
327,0.8063,0.8104
328,0.8049,0.8104
329,0.8063,0.8104
330,0.8016,0.8104
331,0.8059,0.8104
332,0.8061,0.8104
333,0.8051,0.8104
334,0.8055,0.8104
335,0.8022,0.8104
336,0.803,0.8104
337,0.8069,0.8104
338,0.8041,0.8104
339,0.8082,0.8104
340,0.804,0.8104
341,0.8048,0.8104
342,0.8072,0.8104
343,0.8046,0.8104
344,0.8035,0.8104
345,0.8072,0.8104
346,0.805,0.8104
347,0.8075,0.8104
348,0.8053,0.8104
349,0.8047,0.8104
